dateCaptured, airTempSensationOne, airHumSensationOne, airTempOne, airHumOne, earthTempOne, earthHumOne, lightOne, airTempSensationTwo, airHumSensationTwo, airTempTwo, airHumTwo, earthTempTwo, earthHumTwo, lightTwo, airTempSensationThree, airHumSensationThree, airTempThree, airHumThree, earthTempThree, earthHumThree, lightThree, airTempSensationFour, airHumSensationFour, airTempFour, airHumFour, earthTempFour, earthHumFour, lightFour, airTempSensationFive, airHumSensationFive, airTempFive, airHumFive, earthTempFive, earthHumFive, lightFive, statusCloud, timeSent
11/9/2020 7:34:56, 19.059, 19.059, 19.5, 59.5, 16.4375, 22.0757, 15, 18.144, 18.144, 18.4, 70.8, 17.875, 1.1835, 35.8333, 18.0164, 18.0164, 18.5, 61.7, 16.9375, 0.971283, 86.6667, 19.3364, 19.3364, 19.7, 61.7, 18.25, 2.6348, 2.5, 18.2103, 18.2103, 18.7, 60.7, 17.75, 0.470314, 5, false, 11/9/2020 7:34:56 
11/9/2020 7:37:2, 18.7211, 18.7211, 19.2, 59.2, 16.5, 22.0774, 10.8333, 18.3562, 18.3562, 18.6, 70.5, 17.9375, 1.19994, 37.5, 18.0269, 18.0269, 18.5, 62.1, 16.9375, 0.968735, 90, 19.5564, 19.5564, 19.9, 61.7, 18.25, 2.63531, 2.5, 18.5455, 18.5455, 19, 60.9, 17.6875, 0.47435, 5.41667, false, 11/9/2020 7:37:2 
11/9/2020 7:39:9, 18.4933, 18.4933, 19, 58.9, 16.5625, 22.081, 15, 18.6914, 18.6914, 18.9, 70.7, 17.9375, 1.17661, 38.3333, 18.336, 18.336, 18.8, 61.3, 17.0625, 0.971718, 92.5, 19.7764, 19.7764, 20.1, 61.7, 18.25, 2.63903, 2.5, 20.439, 20.439, 20.7, 61.8, 17.6875, 0.469452, 5, false, 11/9/2020 7:39:9 
11/9/2020 7:41:15, 18.4881, 18.4881, 19, 58.7, 16.5, 22.0688, 15, 18.7962, 18.7962, 19, 70.5, 17.9375, 1.17447, 36.6667, 18.2286, 18.2286, 18.7, 61.4, 17, 0.972191, 92.5, 19.7764, 19.7764, 20.1, 61.7, 18.25, 2.61868, 2.5, 20.4364, 20.4364, 20.7, 61.7, 17.6875, 0.467476, 5, false, 11/9/2020 7:41:15 
11/9/2020 7:43:22, 18.2629, 18.2629, 18.8, 58.5, 16.5, 22.0803, 15.8333, 18.7936, 18.7936, 19, 70.4, 17.9375, 1.1909, 37.5, 18.2234, 18.2234, 18.7, 61.2, 17.0625, 0.976204, 95, 19.7738, 19.7738, 20.1, 61.6, 18.25, 2.63648, 2.5, 19.0955, 19.0955, 19.5, 60.9, 17.625, 0.465866, 5, false, 11/9/2020 7:43:22 
11/9/2020 7:45:30, 18.1555, 18.1555, 18.7, 58.6, 16.5625, 22.0986, 10.4167, 18.571, 18.571, 18.8, 70.3, 17.9375, 1.18935, 39.1667, 18.1134, 18.1134, 18.6, 61.2, 17.0625, 0.978455, 98.3333, 19.4386, 19.4386, 19.8, 61.4, 18.25, 2.63652, 2.5, 18.3125, 18.3125, 18.8, 60.4, 17.6875, 0.471588, 5, false, 11/9/2020 7:45:30 
11/9/2020 7:47:37, 18.4829, 18.4829, 19, 58.5, 16.5625, 22.0831, 15.8333, 18.0184, 18.0184, 18.3, 70.2, 17.9375, 1.20589, 41.6667, 18.336, 18.336, 18.8, 61.3, 17.0625, 0.973961, 101.667, 19.4412, 19.4412, 19.8, 61.5, 18.25, 2.65185, 2.5, 20.5412, 20.5412, 20.8, 61.5, 17.6875, 0.479942, 5, false, 11/9/2020 7:47:37 
11/9/2020 7:49:43, 19.0329, 19.0329, 19.5, 58.5, 16.625, 22.1018, 16.6667, 18.3405, 18.3405, 18.6, 69.9, 17.9375, 1.19109, 40.8333, 18.3125, 18.3125, 18.8, 60.4, 17.0625, 0.980553, 105, 19.8812, 19.8812, 20.2, 61.5, 18.3125, 2.62779, 2.5, 18.0873, 18.0873, 18.6, 60.2, 17.75, 0.477882, 5.41667, false, 11/9/2020 7:49:43 
11/9/2020 7:51:50, 18.3598, 18.3598, 18.9, 58, 16.5625, 22.1175, 15.8333, 20.1136, 20.1136, 20.2, 70.4, 17.875, 1.18885, 41.6667, 18.2103, 18.2103, 18.7, 60.7, 16.9375, 0.978386, 106.667, 19.9912, 19.9912, 20.3, 61.5, 18.3125, 2.64648, 2.5, 18.9777, 18.9777, 19.4, 60.6, 17.75, 0.486572, 5, false, 11/9/2020 7:51:50 
11/9/2020 7:53:56, 18.3546, 18.3546, 18.9, 57.8, 16.625, 22.1231, 16.6667, 19.0084, 19.0084, 19.2, 70.2, 17.9375, 1.2036, 43.3333, 18.2077, 18.2077, 18.7, 60.6, 16.9375, 0.983269, 109.167, 19.8786, 19.8786, 20.2, 61.4, 18.3125, 2.65366, 2.5, 18.3099, 18.3099, 18.8, 60.3, 17.625, 0.471733, 5.41667, false, 11/9/2020 7:53:56 
