dateCaptured,airTempSensationOne,airHumSensationOne,airTempOne,airHumOne,earthTempOne,earthHumOne,lightOne,airTempSensationTwo,airHumSensationTwo,airTempTwo,airHumTwo,earthTempTwo,earthHumTwo,lightTwo,airTempSensationThree,airHumSensationThree,airTempThree,airHumThree,earthTempThree,earthHumThree,lightThree,airTempSensationFour,airHumSensationFour,airTempFour,airHumFour,earthTempFour,earthHumFour,lightFour,airTempSensationFive,airHumSensationFive,airTempFive,airHumFive,earthTempFive,earthHumFive,lightFive,statusCloud,timeSent
11/09/2020 21:31:44,9.33,9.33,9.70,99.90,13.69,28.12,0.00,10.20,10.20,10.50,99.40,14.88,7.44,0.00,9.55,9.55,9.90,99.90,14.31,9.33,0.00,9.44,9.44,9.80,99.90,14.56,13.34,0.00,8.23,8.23,8.70,99.90,13.62,12.39,0.00,True,20/09/2020 16:37:55
11/09/2020 22:02:20,9.33,9.33,9.70,99.90,13.56,27.12,0.00,9.76,9.76,10.10,99.50,14.81,7.87,0.00,9.77,9.77,10.10,99.90,14.19,8.98,0.00,9.66,9.66,10.00,99.90,14.44,13.15,0.00,9.11,9.11,9.50,99.90,13.56,12.24,0.00,True,20/09/2020 16:37:55
11/09/2020 22:32:56,9.99,9.99,10.30,99.90,13.44,26.27,0.00,9.43,9.43,9.80,99.50,14.69,7.75,0.00,10.32,10.32,10.60,99.90,14.12,8.90,0.00,9.55,9.55,9.90,99.90,14.19,13.13,0.00,10.76,10.76,11.00,99.90,13.44,12.17,0.00,True,20/09/2020 16:37:55
12/09/2020 21:15:35,10.32,10.32,10.60,99.90,14.19,30.46,0.00,9.94,9.94,10.30,97.80,15.88,8.56,0.00,10.21,10.21,10.50,99.90,14.88,22.78,0.00,10.87,10.87,11.10,99.90,15.56,19.11,0.00,11.20,11.20,11.40,99.90,13.94,12.11,0.00,True,20/09/2020 16:37:55
13/09/2020 15:38:40,19.91,19.91,20.00,71.10,13.69,29.38,5589.17,32.01,32.01,29.30,62.70,15.44,17.97,10025.00,21.26,21.26,21.40,63.90,14.94,37.98,3322.50,19.81,19.81,19.70,79.70,16.00,19.08,6481.67,24.08,24.08,24.10,58.10,13.31,9.72,4290.83,True,20/09/2020 16:37:55
13/09/2020 16:08:04,17.65,17.65,17.70,81.50,13.81,30.44,4632.50,19.02,19.02,19.00,79.00,15.56,18.54,3915.83,16.34,16.34,16.50,81.90,15.12,38.92,3093.33,17.75,17.75,17.50,93.80,16.25,19.97,6280.83,17.28,17.28,17.40,80.00,13.56,10.19,3519.17,True,20/09/2020 16:37:55
13/09/2020 16:37:48,15.70,15.70,15.70,91.10,14.00,31.10,923.33,17.73,17.73,17.70,84.50,15.69,19.00,3902.50,17.09,17.09,17.10,85.10,15.19,39.40,3787.50,16.59,16.59,16.30,99.90,16.38,20.11,1109.17,16.69,16.69,16.70,86.80,13.69,10.37,4007.50,True,20/09/2020 16:37:55
13/09/2020 17:07:30,14.49,14.49,14.50,95.10,14.12,31.40,2348.33,16.86,16.86,16.80,88.90,15.81,19.07,3387.50,15.98,15.98,16.00,89.10,15.38,40.07,2965.83,15.05,15.05,14.90,99.90,16.44,20.24,2549.17,15.57,15.57,15.50,94.20,13.81,10.57,2939.17,True,20/09/2020 16:37:55
13/09/2020 17:37:23,13.34,13.34,13.40,97.60,14.19,31.37,615.83,13.44,13.44,13.70,88.50,15.81,18.78,2557.50,15.05,15.05,15.10,91.30,15.38,40.57,2809.17,13.95,13.95,13.90,99.90,16.25,20.08,660.83,15.38,15.38,15.30,95.70,13.88,10.70,2668.33,True,20/09/2020 16:37:55
13/09/2020 18:07:18,13.34,13.34,13.40,97.60,14.19,31.37,615.83,12.19,12.19,12.50,91.40,15.88,18.81,685.83,12.34,12.34,12.60,92.70,15.44,41.13,210.00,11.75,11.75,11.90,99.90,16.25,20.06,2.92,12.52,12.52,12.60,99.90,13.94,10.70,185.00,True,20/09/2020 16:37:55
13/09/2020 18:37:38,10.98,10.98,11.20,99.90,14.31,32.03,0.00,12.32,12.32,12.50,96.30,15.75,19.00,0.42,11.52,11.52,11.70,99.20,15.38,41.55,0.00,10.98,10.98,11.20,99.90,16.06,20.22,0.00,11.31,11.31,11.50,99.90,13.94,11.02,0.00,True,20/09/2020 16:37:55
13/09/2020 19:08:00,10.98,10.98,11.20,99.90,14.31,32.10,0.00,12.35,12.35,12.50,97.50,15.75,19.04,0.00,10.87,10.87,11.10,99.90,15.31,42.41,0.00,10.98,10.98,11.20,99.90,15.94,20.13,0.00,8.67,8.67,9.10,99.90,13.94,11.04,0.00,True,20/09/2020 16:37:55
13/09/2020 19:38:20,8.89,8.89,9.30,99.90,14.25,32.15,0.00,11.26,11.26,11.50,97.80,15.62,18.88,0.00,10.87,10.87,11.10,99.90,15.31,43.22,0.00,9.44,9.44,9.80,99.90,15.69,20.31,0.00,10.10,10.10,10.40,99.90,13.94,11.07,0.00,True,20/09/2020 16:37:55
13/09/2020 20:08:35,8.23,8.23,8.70,99.90,14.19,32.32,0.00,10.06,10.06,10.40,98.20,15.50,18.98,0.00,8.89,8.89,9.30,99.90,15.19,42.91,0.00,8.12,8.12,8.60,99.90,15.50,20.35,0.00,7.57,7.57,8.10,99.90,13.81,11.29,0.00,True,20/09/2020 16:37:55
13/09/2020 20:38:55,7.57,7.57,8.10,99.90,14.12,32.54,0.00,8.32,8.32,8.80,99.00,15.50,19.16,0.00,8.56,8.56,9.00,99.90,15.12,42.41,0.00,7.35,7.35,7.90,99.90,15.31,20.23,0.00,7.02,7.02,7.60,99.90,13.75,11.34,0.00,True,20/09/2020 16:37:55
13/09/2020 21:09:14,7.13,7.13,7.70,99.90,14.06,32.67,0.00,6.25,6.25,6.90,99.80,15.38,19.09,0.00,7.57,7.57,8.10,99.90,15.00,42.58,0.00,6.36,6.36,7.00,99.90,15.06,20.35,0.00,5.70,5.70,6.40,99.90,13.75,11.24,0.00,True,20/09/2020 16:37:55
13/09/2020 21:39:33,5.92,5.92,6.60,99.90,13.88,32.86,0.00,6.36,6.36,7.00,99.80,15.25,19.25,0.00,6.58,6.58,7.20,99.90,14.94,43.18,0.00,5.59,5.59,6.30,99.90,14.81,20.31,0.00,4.71,4.71,5.50,99.90,13.62,11.74,0.00,True,20/09/2020 16:37:55
13/09/2020 22:09:54,5.70,5.70,6.40,99.90,13.88,32.82,0.00,5.70,5.70,6.40,99.90,15.12,19.30,0.00,6.03,6.03,6.70,99.90,14.88,43.92,0.00,6.03,6.03,6.70,99.90,14.69,20.13,0.00,5.70,5.70,6.40,99.90,13.56,11.78,0.00,True,20/09/2020 16:37:55
13/09/2020 22:40:20,5.92,5.92,6.60,99.90,13.69,32.51,0.00,6.25,6.25,6.90,99.90,15.00,19.19,0.00,6.80,6.80,7.40,99.90,14.75,44.01,0.00,6.36,6.36,7.00,99.90,14.31,19.76,0.00,6.69,6.69,7.30,99.90,13.50,11.66,0.00,True,20/09/2020 16:37:55
13/09/2020 23:10:48,7.13,7.13,7.70,99.90,13.62,32.13,0.00,5.04,5.04,5.80,99.90,14.88,18.94,0.00,7.46,7.46,8.00,99.90,14.62,43.80,0.00,7.35,7.35,7.90,99.90,14.12,19.56,0.00,5.26,5.26,6.00,99.90,13.44,11.47,0.00,True,20/09/2020 16:37:55
13/09/2020 23:41:12,7.35,7.35,7.90,99.90,13.44,32.10,0.00,6.47,6.47,7.10,99.90,14.75,18.59,0.00,7.35,7.35,7.90,99.90,14.56,43.88,0.00,7.68,7.68,8.20,99.90,13.88,19.24,0.00,6.69,6.69,7.30,99.90,13.38,11.43,0.00,True,20/09/2020 16:37:55
14/09/2020 00:11:38,7.57,7.57,8.10,99.90,13.38,31.83,0.00,7.57,7.57,8.10,99.90,14.56,18.41,0.00,7.79,7.79,8.30,99.90,14.44,44.71,0.00,7.35,7.35,7.90,99.90,13.75,19.04,0.00,7.02,7.02,7.60,99.90,13.19,11.27,0.00,True,20/09/2020 16:37:55
14/09/2020 00:42:03,8.01,8.01,8.50,99.90,13.19,31.52,0.00,7.79,7.79,8.30,99.90,14.50,18.34,0.00,7.79,7.79,8.30,99.90,14.31,45.49,0.00,8.34,8.34,8.80,99.90,13.56,18.78,0.00,7.35,7.35,7.90,99.90,13.12,11.07,0.00,True,20/09/2020 16:37:55
14/09/2020 01:12:26,7.68,7.68,8.20,99.90,13.06,31.39,0.00,8.89,8.89,9.30,99.90,14.38,18.05,0.00,8.12,8.12,8.60,99.90,14.25,44.35,0.00,7.46,7.46,8.00,99.90,13.38,18.87,0.00,8.45,8.45,8.90,99.90,13.06,11.01,0.00,True,20/09/2020 16:37:55
14/09/2020 01:42:46,7.13,7.13,7.70,99.90,13.00,31.46,0.00,7.13,7.13,7.70,99.90,14.25,18.38,0.00,7.46,7.46,8.00,99.90,14.12,44.11,0.00,6.58,6.58,7.20,99.90,13.31,19.14,0.00,6.91,6.91,7.50,99.90,12.94,11.33,0.00,True,20/09/2020 16:37:55
14/09/2020 02:13:06,6.03,6.03,6.70,99.90,12.88,31.59,0.00,6.58,6.58,7.20,99.90,14.19,18.47,0.00,6.36,6.36,7.00,99.90,14.06,44.45,0.00,6.47,6.47,7.10,99.90,13.12,19.14,0.00,6.58,6.58,7.20,99.90,12.81,11.37,0.00,True,20/09/2020 16:37:55
14/09/2020 02:43:30,6.14,6.14,6.80,99.90,12.81,31.53,0.00,5.70,5.70,6.40,99.90,14.06,18.63,0.00,6.36,6.36,7.00,99.90,14.00,45.24,0.00,6.80,6.80,7.40,99.90,13.00,19.01,0.00,7.79,7.79,8.30,99.90,12.75,11.39,0.00,True,20/09/2020 16:37:55
14/09/2020 03:13:51,5.70,5.70,6.40,99.90,12.69,31.62,0.00,6.36,6.36,7.00,99.90,14.00,18.36,0.00,6.80,6.80,7.40,99.90,13.94,45.12,0.00,5.48,5.48,6.20,99.90,12.81,19.08,0.00,4.82,4.82,5.60,99.90,12.69,11.46,0.00,True,20/09/2020 16:37:55
14/09/2020 03:44:10,4.82,4.82,5.60,99.90,12.56,31.67,0.00,4.60,4.60,5.40,99.90,13.81,18.63,0.00,5.70,5.70,6.40,99.90,13.81,45.74,0.00,4.93,4.93,5.70,99.90,12.75,19.07,0.00,5.92,5.92,6.60,99.90,12.62,11.53,0.00,True,20/09/2020 16:37:55
14/09/2020 04:14:33,4.93,4.93,5.70,99.90,12.44,31.63,0.00,5.92,5.92,6.60,99.90,13.69,18.54,0.00,5.04,5.04,5.80,99.90,13.75,46.22,0.00,5.15,5.15,5.90,99.90,12.69,18.95,0.00,5.26,5.26,6.00,99.90,12.50,11.51,0.00,True,20/09/2020 16:37:55
14/09/2020 04:44:55,4.71,4.71,5.50,99.90,12.38,31.60,0.00,4.93,4.93,5.70,99.90,13.62,18.58,0.00,5.15,5.15,5.90,99.90,13.69,46.56,0.00,4.49,4.49,5.30,99.90,12.50,18.87,0.00,3.72,3.72,4.60,99.90,12.44,11.41,0.00,True,20/09/2020 16:37:55
14/09/2020 05:15:18,4.38,4.38,5.20,99.90,12.25,31.62,0.00,3.39,3.39,4.30,99.90,13.56,18.55,0.00,4.93,4.93,5.70,99.90,13.56,46.93,0.00,4.60,4.60,5.40,99.90,12.38,19.10,0.00,4.60,4.60,5.40,99.90,12.31,11.41,0.00,True,20/09/2020 16:37:55
14/09/2020 05:45:41,4.16,4.16,5.00,99.90,12.12,31.58,2.92,6.03,6.03,6.70,99.90,13.44,18.45,66.67,4.71,4.71,5.50,99.90,13.50,47.51,0.83,4.93,4.93,5.70,99.90,12.19,19.17,73.33,3.28,3.28,4.20,99.90,12.31,11.30,13.33,True,20/09/2020 16:37:55
14/09/2020 06:16:09,5.70,5.70,6.40,99.90,12.06,31.30,664.17,6.91,6.91,7.50,99.90,13.38,18.09,2136.67,5.26,5.26,6.00,99.90,13.44,47.28,395.00,6.25,6.25,6.90,99.90,12.12,18.80,1808.33,5.26,5.26,6.00,99.90,12.25,11.06,1111.67,True,20/09/2020 16:37:55
14/09/2020 06:46:44,7.79,7.79,8.30,99.90,12.06,30.71,1870.00,10.81,10.81,11.10,97.30,13.38,17.13,7091.67,7.79,7.79,8.30,99.90,13.38,46.92,2674.17,10.21,10.21,10.50,99.90,12.00,18.05,3482.50,9.44,9.44,9.80,99.90,12.19,10.74,3645.83,True,20/09/2020 16:37:55
14/09/2020 07:17:28,15.43,15.43,15.60,84.80,11.94,28.93,8046.67,25.39,25.39,25.00,70.40,13.38,15.18,10245.00,13.02,13.02,13.30,89.50,13.25,46.85,3705.00,16.59,16.59,16.30,99.90,11.88,17.12,5397.50,19.57,19.57,19.70,70.80,12.12,9.91,3900.00,True,20/09/2020 16:37:55
14/09/2020 07:48:10,22.29,22.29,22.40,61.00,11.94,27.28,7159.17,34.58,34.58,31.40,55.60,13.25,14.44,19115.00,21.20,21.20,21.40,61.40,13.31,46.06,8449.17,19.70,19.70,19.40,88.40,11.81,16.58,7506.67,26.03,26.03,26.00,52.70,11.94,9.11,16889.20,True,20/09/2020 16:37:55
14/09/2020 08:20:49,23.97,23.97,23.80,66.30,11.88,26.96,8371.67,36.06,36.06,33.00,49.20,13.25,14.14,15135.00,27.86,27.86,27.40,50.70,13.25,45.91,32882.50,22.53,22.53,21.70,99.90,11.81,15.74,12160.80,25.80,25.80,25.80,52.10,11.94,8.65,10105.80,True,20/09/2020 16:37:55
14/09/2020 08:50:19,18.74,18.74,18.80,76.80,11.81,27.13,11876.70,17.36,17.36,17.00,99.90,13.19,23.38,10700.80,19.23,19.23,18.70,99.90,13.12,45.99,9474.17,17.36,17.36,17.00,99.90,11.75,31.60,23848.30,17.58,17.58,17.20,99.90,11.94,9.25,10896.70,True,20/09/2020 16:37:55
14/09/2020 09:21:01,20.39,20.39,20.30,76.90,11.75,27.53,8021.67,20.88,20.88,20.20,99.90,13.31,21.58,11430.80,20.99,20.99,20.30,99.90,13.25,46.41,12175.80,20.33,20.33,19.70,99.90,11.94,36.43,57724.60,19.83,19.83,19.70,80.50,11.94,9.23,13508.30,True,20/09/2020 16:37:55
14/09/2020 09:51:41,21.38,21.38,21.40,68.50,11.81,27.33,12568.30,21.27,21.27,20.80,89.50,13.31,20.78,10800.00,20.12,20.12,19.60,96.10,13.25,46.63,10931.70,18.68,18.68,18.20,99.90,12.00,35.67,12397.50,21.46,21.46,21.40,71.60,12.00,9.33,16048.30,True,20/09/2020 16:37:55
